id_cliente,periodo,edad,sexo,region,segmento,ingreso_mensual,score_bureau,num_lineas,max_mora_12m,mora_30d_12m,saldo_total,utilizacion_tc,antig_laboral_anios,antig_banca_anios,producto_principal,canal_origen,mora_30d_next3m
C000069,202405,30,M,Oriente,B,1399.32,543.0,2,0,0,3955.1,0.1721906359969243,6.1,0.0,PL,Tienda,0
C000124,202401,49,M,Sur,A,2648.6,620.0,5,0,1,3483.5,0.3289262912825984,4.6,1.3, PL ,Digital,0
C000775,202311,39,F,Centro,C,674.88,543.0,3,0,0,416.6,0.16308754246755938,5.9,2.5,PL,Tienda,0
C000127,202505,27,M,Norte,A,506.91,526.0,3,0,1,1561.01,0.6242542406981599,1.4,7.1,PL,Digital,0
C001281,202411,43,M,Lima,A,5405.76,602.0,7,0,0,3223.44,0.42630757755700904,6.9,1.6,TC,Tienda,0
C001378,202505,36,M,Lima,B,2622.31,613.0,4,1,0,4546.94,0.2391420814320283,3.8,4.7,PL,Digital,0
C000079,202411,73,M,Lima,C,6162.88,615.0,3,1,0,10171.83,0.556979181471507,7.5,2.3,TC,Digital,1
C000277,202509,38,F,Centro,B,5023.66,784.0,3,1,0,15584.24,0.24480406267941573,9.5,7.1,TC,FuerzaVenta,0
C000145,202412,52,M,Centro,C,2416.79,773.0,6,0,0,4230.75,0.3007968737788225,9.8,2.6,TC,Digital,0
C000156,202402,40,M,Norte,C,2823.35,731.0,4,0,0,9302.03,0.4243784095974422,8.0,1.7,TC,FuerzaVenta,0
C001234,202311,39,M,Centro,A,1491.48,633.0,3,1,0,3036.47,0.05482669396641495,1.0,0.9,Pyme,Tienda,0
C000071,202509,19,M,Lima,A,2813.93,729.0,2,0,1,6253.35,0.36182289512293103,8.0,2.2,TC,Digital,0
C000998,202504,18,M,Centro,A,1809.18,639.0,6,0,0,3240.09,0.04218267452187549,8.6,5.2,TC,Digital,1
C000365,202406,62,F,Lima,B,1758.52,829.0,3,0,1,1064.41,0.2732064747325941,7.8,5.4,PL,Digital,0
C001215,202408,53,F,Centro,A,1046.99,611.0,4,0,0,1420.71,0.36172475279675087,6.5,1.1,TC,FuerzaVenta,0
C000721,202504,42,F,Norte,C,3313.56,688.0,3,0,0,11269.41,0.03237877007012213,3.2,3.1,TC,FuerzaVenta,0
C001329,202507,38,F,Lima,A,1021.08,659.0,3,1,0,2605.67,0.1208625489653895,4.8,0.3,Pyme,FuerzaVenta,0
C000845,202503,42,M,Norte,B,5079.72,550.0,5,2,0,11535.02,0.368274823125337,4.6,2.7,TC,Digital,1
C001350,202311,43,M,Norte,A,3164.55,869.0,6,1,0,3630.82,0.12670763991888132,4.4,4.2,TC,Tienda,0
C000149,202506,39,F,Lima,B,2524.6,781.0,2,0,0,1884.43,0.23976013024708093,7.6,1.6,TC,Digital,0
C001357,202411,45,M,Lima,B,3446.08,615.0,3,0,0,1488.27,0.29596710403737797,0.4,2.7,PL,Digital,0
C001038,202403,71,F,Lima,C,799.04,617.0,5,1,0,708.17,0.4469122148793745,5.4,0.0,TC,Alianza,1
C000759,202508,40,F,,B,3776.08,733.0,2,1,0,5409.77,0.25729717282604697,5.7,4.1,Hipotecario,Digital,0
C000156,202405,28,M,Lima,B,2576.9,572.0,0,0,0,8838.13,0.4077490581879374,0.0,3.4,TC,FuerzaVenta,0
C000603,202403,65,M,Norte,C,1820.47,550.0,5,0,0,5206.46,0.3093190712727306,4.6,4.6,Hipotecario,Tienda,0
C000504,202504,60,M,Sur,A,1991.21,595.0,0,0,0,5478.31,0.5602009928441096,3.9,1.6,TC,Tienda,1
C000160,202406,32,M,Lima,C,4848.12,783.0,1,1,0,5987.05,0.601933622604812,3.6,3.6,Pyme,Digital,0
C000321,202409,41,F,Lima,C,1601.94,788.0,3,0,0,3287.59,0.0771419467526544,4.6,4.3,TC,Digital,0
C000018,202505,57,M,Centro,B,3251.16,646.0,2,0,0,11347.9,0.0728743111926384,8.0,2.7,Hipotecario,Tienda,0
C001096,202310,64,M,Norte,B,1140.64,667.0,1,0,0,1859.89,0.5114331675225309,5.4,2.1,TC,Digital,0
C000886,202509,37,F,Centro,A,4383.85,705.0,3,0,0,11720.67,0.30219317456337,7.4,6.5,TC,Digital,0
C001112,202412,20,M,Sur,C,2261.9,625.0,3,0,1,6402.97,0.629848887576299,11.6,0.0,TC,Digital,0
C000137,202410,36,M,Centro,A,2670.84,678.0,0,0,0,7259.16,0.23433224298742164,4.1,0.0,TC,Digital,0
C001470,202503,44,F,Lima,C,10534.38,899.0,6,1,0,22347.47,0.5616849217141135,3.1,0.0,Pyme,Tienda,0
C000623,202505,70,M,Lima,B,1099.81,726.0,3,1,0,2347.93,0.4993068525599408,6.4,5.3,PL,Tienda,0
C001303,202310,72,F,Lima,A,1722.15,556.0,1,0,0,2163.88,0.561095289010204,4.5,3.0,Pyme,Tienda,0
C001295,202405,64,F,Lima,B,2492.19,576.0,2,0,0,1288.44,0.25552418928555837,9.1,4.2,Hipotecario,Digital,0
C000488,202402,37,F,Sur,B,2727.54,626.0,4,0,0,4706.28,0.38467721246343817,3.7,4.3,TC,Digital,0
C000316,202406,45,M,Lima,A,3780.12,707.0,4,0,0,10783.97,0.12002053901257496,6.1,3.8,Hipotecario,Digital,0
C000020,202503,24,F,Sur,B,2018.89,707.0,1,0,0,5234.3,0.5714823692697194,,1.3,TC,FuerzaVenta,0
C000793,202410,24,F,Norte,B,2356.76,619.0,0,0,1,1058.22,0.17229998728712154,0.0,4.1,TC,Digital,0
C000011,202402,48,M,Norte,C,2786.26,589.0,1,0,0,9263.65,0.05085325389553621,3.4,2.8,Hipotecario,Digital,0
C001218,202503,43,M,Centro,A,4450.67,558.0,2,0,0,7158.06,0.4245832360930299,9.4,4.3,PL,Tienda,0
C000872,202411,53,M,Norte,A,1745.57,734.0,3,0,0,4337.69,0.23605631483156064,9.1,1.2,TC,Digital,1
C000684,202403,38,M,Lima,B,4405.83,712.0,3,1,0,13071.23,0.7335014728933011,6.7,0.3,PL,Tienda,1
C000576,202403,65,M,Lima,A,1338.56,479.0,2,1,0,4603.03,0.15669066347760596,7.1,0.0,TC,Tienda,0
C001293,202310,36,F,Norte,C,2000.34,577.0,2,0,0,4733.0,0.5624294467561533,0.0,6.9,TC,Digital,0
C001039,202409,66,F,Sur,A,1534.93,767.0,4,1,1,3902.91,0.5475854497029746,4.5,0.0,TC,Tienda,0
C000339,202411,51,M,Lima,B,995.83,623.0,5,0,0,2625.94,0.2285644132956517,9.7,4.2,,Digital,0
C000300,202507,22,M,Lima,C,3738.51,601.0,1,0,0,8058.86,0.1786739194590828,5.2,4.4,Pyme,Tienda,0
C000617,202409,33,F,Lima,C,1475.52,563.0,3,0,0,4301.14,0.16743143145195474,4.7,1.7,PL,Digital,0
C000570,202503,18,M,Norte,B,2656.09,627.0,2,0,0,2276.09,0.13702110104632645,4.7,3.3,PL,Digital,1
C000656,202501,26,F,Lima,C,2704.99,715.0,3,0,0,3930.16,0.11253982100616305,8.5,1.5,TC,Digital,0
C000907,202312,68,M,Centro,B,2832.11,627.0,3,1,0,4261.17,0.05245916946722956,5.1,6.2,TC,Digital,0
C000787,202407,48,F,Norte,B,2798.71,643.0,0,1,0,4678.92,0.25560206223751175,3.4,2.9,TC,Tienda,0
C001214,202502,56,F,Lima,A,1837.41,580.0,3,0,0,2388.4,0.5170032867353704,1.5,0.0,TC,Digital,1
C001497,202503,72,F,Centro,B,2455.01,614.0,2,0,0,3510.06,0.5514116741439501,2.3,0.0,TC,FuerzaVenta,0
C000107,202412,62,F,Lima,B,2460.87,732.0,1,0,0,3469.84,0.399583000571336,4.7,4.3,TC,FuerzaVenta,0
C001353,202507,48,M,Centro,B,1336.64,645.0,3,0,0,3268.87,0.6050446539394696,8.9,4.3,TC,Tienda,0
C000796,202506,23,F,Lima,B,3929.23,709.0,3,0,0,13483.54,0.27612191882412646,5.2,5.4,TC,Digital,0
C001245,202406,58,F,Sur,B,3005.07,611.0,5,0,1,5801.95,,8.3,3.1,Pyme,Tienda,0
C000797,202504,69,M,Lima,A,1547.33,765.0,3,0,0,1123.09,0.35088243388932233,4.4,5.9,TC,Tienda,0
C000908,202506,42,M,Lima,A,1808.02,502.0,4,1,0,666.4,0.1459671791952219,6.9,0.2,TC,FuerzaVenta,0
C000988,202504,37,M,Lima,A,567.74,678.0,2,0,1,1963.32,0.5903122709768519,4.5,3.3,Hipotecario,FuerzaVenta,0
C000397,202508,59,F,Lima,B,973.97,687.0,0,0,0,1485.85,0.36740714077988973,5.8,0.1,PL,Digital,0
C000475,202503,50,M,Lima,B,1844.1,530.0,4,0,0,6003.77,0.1381365657366091,1.2,2.1,TC,Alianza,0
C000467,202310,21,M,Centro,B,1891.61,566.0,6,0,0,2486.65,0.3190575298138332,8.7,3.6,PL,Tienda,0
C000531,202411,71,F,Lima,B,missing,736.0,4,0,0,6663.2, ,8.3,3.2,PL,Digital,0
C000021,202406,52,M,Lima,C,3525.55,796.0,7,0,0,11926.53,0.4109568855489382,9.0,6.7,PL,Digital,0
C000627,202501,60,M,Lima,A,2296.35,729.0,6,1,0,6126.53,0.03964202557840066,6.3,2.4,TC,Alianza,0
C001270,202502,47,M,Norte,C,11787.95,606.0,3,0,0,7900.48,0.20339589138580325,7.4,3.8,PL,Digital,0
C000903,202406,36,F,Oriente,B,5834.39,655.0,0,0,0,15376.41,0.2424939052382418,0.3,5.5,TC,Tienda,1
C000466,202503,50,M,Oriente,A,1278.87,581.0,1,0,0,2248.63,0.43530792125361106,7.6,4.4,Hipotecario,Tienda,0
C000217,202407,73,M,Norte,C,1110.06,763.0,2,0,0,1406.34,0.24775040565729042,8.0,3.8,TC,Digital,0
C000199,202311,40,F,Lima,B,1361.37,664.0,1,0,0,2487.49,0.3858377863074057,9.0,3.1,Pyme,FuerzaVenta,0
C001473,202406,39,M,Centro,B,2443.63,777.0,3,0,0,6772.94,0.5464850633206845,4.7,4.4,PL,FuerzaVenta,0
C001020,202504,61,F,Lima,B,1151.98,635.0,3,1,0,2595.72,0.2542578797123271,11.0,4.1,PL,FuerzaVenta,1
C001000,202403,64,M,Oriente,C,2235.33,713.0,2,0,0,7787.34,0.41695878579019113,4.3,2.0,TC,Digital,0
C001367,202408,75,M,Lima,C,511.13,576.0,3,1,1,240.6,0.39312171398995044,,0.0,Hipotecario,Digital,1
C001258,202505,29,M,Norte,A,1278.91,703.0,2,1,0,2512.86,0.21700437661440752,6.9,6.1,PL,Digital,0
C000051,202403,73,F,Centro,B,1695.96,654.0,3,1,0,4029.39,,6.6,3.5,Pyme,FuerzaVenta,0
C001039,202412,53,F,Lima,C,2824.92,660.0,5,0,0,7598.25,0.18296012528530897,5.0,4.1,Hipotecario,Digital,0
C001144,202411,67,F,Lima,A,1731.71,510.0,1,0,0,3294.44,0.41665552259408306,1.3,3.4,PL,Digital,0
C000770,202403,36,M,Norte,B,2080.09,598.0,3,0,0,2595.81,0.2991405456290893,7.0,4.6,TC,Digital,0
C000689,202502,34,M,Lima,B,874.88,650.0,6,1,1,3029.85,,2.8,4.1,PL,Digital,0
C000654,202312,40,F,Lima,C,2103.33,734.0,6,0,0,4693.5,0.4609496640918207,8.6,4.1,TC,Digital,0
C000906,202405,52,M,Lima,C,5189.36,610.0,4,0,0,5079.9,0.6272706017414998,7.1,2.9,TC,Tienda,0
C000099,202311,49,F,Lima,C,,837.0,2,0,0,8261.68,0.3838256056885073,2.4,1.8,TC,FuerzaVenta,0
C001448,202405,60,M,Centro,A,2968.08,632.0,6,0,0,7010.88,0.39565314804614266,1.2,3.7,TC,,0
C000284,202311,29,F,Lima,A,3943.82,628.0,4,0,0,4809.54,0.09600921549644754,9.7,2.5,PL,Tienda,0
C000218,202312,40,M,Norte,B,3749.14,645.0,2,0,0,11569.61,0.4470250809502118,6.3,0.4,TC,Digital,0
C000677,202401,62,F,Oriente,B,1749.58,683.0,3,3,0,1007.55,0.07559172197588393,7.9,1.3,Pyme,Digital,0
C000344,202310,19,F,Lima,B,5731.11,698.0,5,1,0,6228.84,0.5458187321283778,6.8,1.2,Pyme,FuerzaVenta,0
C000354,202504,44,F,Lima,C,2180.08,612.0,0,0,0,6681.99,0.17639184481144551,3.9,1.6,TC,Digital,0
C000301,202404,20,F,Centro,A,4088.88,534.0,3,2,0,13425.61,0.22769287131154767,3.0,4.9,Pyme,Tienda,0
C000440,202409,28,M,Centro,B,1101.14,747.0,3,1,0,3087.87,0.03807058245097414,5.2,4.5,TC,Tienda,0
C000487,202310,51,M,Lima,B,2415.29,681.0,1,0,0,6025.48,0.4230347020083839,0.0,0.0,TC,Digital,0
C000046,202509,26,F,Centro,B,869.44,647.0,2,0,0,2798.84,0.5406712622801015,3.5,5.6,PL,Digital,0
C000568,202312,74,M,Centro,B,4999.49,659.0,3,1,0,16310.86,0.25819335828097456,4.7,2.7,Pyme,FuerzaVenta,1
C000332,202509,63,F,Norte,B,1158.47,815.0,2,2,0,2822.83,0.37041728322925793,6.4,2.8,TC,Alianza,0
C000913,202310,43,M,Centro,B,2516.34,656.0,3,2,0,,0.5886964039440284,7.0,4.0,PL,Digital,0
C001450,202406,42,M,Sur,C,1458.5,654.0,1,0,1,3861.77,0.6328865479243662,7.3,1.8,Pyme,FuerzaVenta,0
C000308,202401,61,M,Lima,B,3540.75,600.0,3,0,0,11203.18,0.3178859543887687,3.8,3.8,TC,Digital,0
C000351,202407,51,F,Oriente,,3807.14,587.0,1,0,0,9956.55,0.38457557561686734,10.1,1.8,Hipotecario,FuerzaVenta,1
C000044,202403,68,M,Lima,C,1380.15,723.0,4,0,0,3396.75,0.11014165319257949,11.7,2.4,PL,Digital,0
C000321,202401,51,M,Lima,C,1952.44,663.0,3,1,0,4170.9,0.15899809373755264,2.6,5.2,PL,FuerzaVenta,0
C001398,202505,56,F,Sur,B,2358.71,581.0,3,0,0,3391.11,0.47324495814581297,5.7,2.4,TC,Digital,0
C000996,202408,30,M,Norte,A,2299.6,628.0,3,0,0,4277.15,0.3739986681652949,0.0,2.5,PL,FuerzaVenta,0
C000795,202502,66,M,Lima,A,1508.36,584.0,5,0,0,609.18,0.26943946732805646,8.6,4.5,TC,Digital,0
C000031,202509,37,F,,C,581.55,587.0,1,1,1,1542.7,0.2588587687920298,1.9,1.5,TC,Digital,1
C001336,202405,25,F,Lima,B,4230.68,573.0,3,0,0,6233.22,0.4442974563801275,7.4,2.9,TC,Tienda,1
C001316,202409,63,M,Lima,A,1599.4,698.0,2,0,1,836.92,0.48069523232919614,7.2,2.7,PL,Alianza,0
C000964,202412,30,M,Centro,A,2543.97,711.0,2,0,1,1033.46,0.5395993537388875,6.7,0.8,TC,Tienda,0
C001293,202403,48,F,Norte,B,1082.92,650.0,1,0,1,2982.51,0.6949239971112188,9.0,3.3,TC,Digital,1
C000769,202508,61,F,Lima,A,3642.65,665.0,0,0,0,1817.81,0.3333316202986485,4.0,4.8,TC,Digital,0
C001399,202509,48,M,Centro,C,1022.39,626.0,2,0,0,2487.07,0.2714151281608315,2.1,4.7,Hipotecario,Digital,0
C000191,202402,49,M,Lima,C,3239.48,842.0,6,1,0,10281.35,0.397865782590673,2.6,3.9,TC,Digital,0
C000141,202501,32,F,Sur,B,2531.97,496.0,2,1,0,7249.27,0.44248431334468313,3.5,2.7,PL,,1
C000294,202504,47,F,Lima,C,4926.24,607.0,3,1,1,9687.84,0.540902089764699,0.0,5.0,TC,Digital,0
C001310,202410,25,M,Centro,C,1567.77,626.0,7,0,0,4036.35,0.4301025080044422,3.6,6.9,PL,Alianza,0
C000206,202403,57,M,Lima,A,2558.41,617.0,1,0,1,5419.71,0.4370510730779124,7.7,1.7,PL,FuerzaVenta,0
C000404,202411,20,F,Centro,,5014.25,682.0,3,0,1,15394.05,0.6181923192202108,0.7,4.3,TC,Tienda,0
C001008,202403,26,M,Lima,C,557.78,629.0,6,0,0,1189.18,0.3252562934785275,6.4,2.9,PL,Digital,0
C000643,202311,67,M,Lima,C,2953.68,765.0,5,0,0,3387.86,0.31237187489235174,3.8,1.4,TC,Tienda,0
C001264,202403,36,F,Sur,C,4264.2,572.0,3,0,1,3581.99,0.23660148884891627,5.0,4.9,PL,Tienda,0
C000375,202311,18,M,Centro,B,1627.87,648.0,2,0,0,3754.67,0.15710582958847047,5.1,1.4,Pyme,FuerzaVenta,0
C001367,202404,75,F, Lima ,C,3857.3,710.0,3,0,0,8194.57,0.2277324453092649,4.0,3.3,Hipotecario,Digital,0
C000244,202312,27,F,Lima,A,2730.89,594.0,4,0,0,9496.63,0.2904602159230127,1.2,0.0,PL,Tienda,0
C000404,202406,31,M,Lima,C,4904.25,658.0,3,1,0,12653.63,,6.9,0.0,TC,Digital,1
C001310,202504,73,M,Oriente,B,1805.91,583.0,4,0,1,2840.7,0.32181279926820155,6.9,1.3,TC,Digital,0
C001153,202404,26,M,Sur,B,1047.32,746.0,2,0,0,470.52,0.18217989684589403,6.4,1.1,TC,Digital,0
C000672,202506,33,M,Norte,A,1536.52,562.0,5,0,0,3483.32,0.5246535466490595,1.0,0.0,PL,Digital,1
C000128,202412,62,F,Lima,B,3543.11,600.0,2,3,0,12320.54,0.2200732893516071,8.9,2.5,Hipotecario,FuerzaVenta,0
C000102,202505,20,F,Lima,B,1170.87,573.0,0,1,0,3202.28,0.5628221455559017,,1.4,Pyme,Digital,1
C000060,202509,71,M,Sur,A,2203.22,566.0,1,0,0,4268.41,0.18821404208681786,7.6,0.0,TC,Digital,0
C001283,202407,18,M,Centro,B,3942.84,695.0,2,1,0,13398.48,0.5717750992882265,9.4,1.7,PL,Tienda,1
C001252,202504,32,M,Norte,A,737.72,650.0,3,0,0,1561.77,0.5774886588450476,6.2,4.3,Pyme,Digital,0
C000030,202407,63,F,Lima,C,1285.93,609.0,6,0,0,991.84,0.3922072579635143,0.7,0.7,TC,Digital,0
C001118,202505,75,F,,B,977.11,643.0,2,1,1,2439.4,0.2976100628873768,4.6,4.9,Pyme,FuerzaVenta,0
C000787,202505,75,M,Lima,C,7200.84,903.0,3,0,0,12574.5,0.3684465484481684,3.6,3.3,TC,Tienda,0
C000563,202409,28,M,Sur,A,1465.03,634.0,0,0,0,2370.03,0.31303505389765957,7.5,4.1,PL,Digital,0
C000075,202502,39,F,,B,2262.04,665.0,1,2,0,3700.93,0.2078664974258117,6.6,6.8,Pyme,Tienda,0
C000756,202409,42,M,Lima,B,1740.3,616.0,4,0,0,2464.97,0.18339129870557827,7.6,2.2,Pyme,Tienda,0
C000468,202402,28,F,Lima,B,703.07,562.0,4,0,1,2121.67,0.04365655200938021,7.1,2.2,TC,Digital,0
C001062,202504,53,F,Sur,B,2179.11,617.0,5,0,0,3049.34,0.10947016925312042,3.5,6.5,PL,FuerzaVenta,0
C000208,202504,61,F,Lima,B,3798.76,674.0,1,1,0,11253.45,0.47140403502716294,9.4,2.4,,Digital,0
C000536,202501,23,F,Sur,C,3609.42,532.0,1,0,0,4813.53,0.5690666581698475,4.2,4.6,TC,Digital,0
C001322,202408,63,F,Lima,C,2478.65,624.0,2,0,0,2882.58,0.43459741275704755,7.9,0.0,TC,Tienda,0
C000284,202406,62,M,Lima,A,4054.64,596.0,0,0,0,2677.4,0.10432889428029139,3.0,1.1,TC,Digital,0
C000816,202505,33,M,Lima,B,2846.35,671.0,2,0,0,3414.25,0.12960483723835922,9.0,2.4,TC,Alianza,0
C001061,202410,50,M,Oriente,B,2644.64,687.0,4,2,0,7147.97,0.12545332536343423,9.9,4.6,TC,FuerzaVenta,0
C000162,202312,69,M,Norte,A,2220.68,640.0,2,2,0,2438.5,0.22055922633745634,9.3,5.5,Hipotecario,,0
C000306,202507,46,M,Lima,C,2764.89,570.0,3,1,0,4014.96,0.790039784340021,6.8,2.0,PL,Digital,0
C000431,202504,74,M,Sur,C,,693.0,2,0,0,1708.24,0.4783186166483362,4.1,6.0,TC,Digital,1
C001402,202410,28,M,Sur,A,546.86,662.0,2,0,0,954.27,0.3224104389492923,4.9,4.3,TC,FuerzaVenta,0
C000510,202504,70,M,Lima,B,2810.67,615.0,2,0,0,5667.51,0.19707297264731427,4.5,3.0,TC,Digital,0
C001249,202404,51,M,Norte,B,4604.94,599.0,4,1,0,11473.58,0.21266820088110522,5.0,2.7,TC,Digital,0
C000291,202501,46,F,Lima,B,4137.14,613.0,3,0,0,7438.17,0.059429185542012514,9.6,2.5,TC,Digital,0
C001290,202312,34,M,Centro,C,2848.13,655.0,4,2,0,6399.71,0.17798625045059815,0.0,1.4,PL,Alianza,0
C000783,202502,47,M,Lima,C,1504.04,751.0,0,1,0,3483.17,0.2266714325711947,7.6,3.2,Pyme,Tienda,0
C000828,202501,21,M,Lima,A,2987.96,679.0,1,1,0,6815.26,0.5010749460584563,0.0,4.4,Hipotecario,FuerzaVenta,0
C000930,202406,51,F,Centro,B,6014.57,688.0,1,0,0,12298.26,0.24466479026919738,4.1,5.6,Pyme,FuerzaVenta,0
C001157,202509,19,M,Sur,A,,674.0,4,0,0,4049.57,0.5724818671390558,5.0,3.7,Hipotecario,Digital,1
C000950,202411,24,,Lima,B,2457.02,812.0,2,0,0,4326.3,,7.2,3.7,TC,Digital,0
C000291,202407,34,F,Lima,A,2314.34,463.0,0,2,0,4979.42,0.3317050008227621,5.6,1.5,TC,Alianza,0
C000077,202405,31,M,Norte,B,4224.26,640.0,5,0,0,6493.57,0.4076809874899908,1.8,3.3,Hipotecario,Tienda,0
C001210,202312,47,M,Sur,B,4770.49,768.0,3,0,0,13155.92,0.17331064079109762,8.2,3.2,PL,FuerzaVenta,0
C000521,202408,33,F,Centro,A,2718.49,669.0,2,0,0,8134.14,0.38842323456708855,8.7,1.8,TC,Digital,1
C000073,202509,40,F,Norte,B,969.34,718.0,1,0,0,728.78,0.4337130181817594,6.4,3.2,TC,Digital,0
C001281,202506,25,M,Sur,C,1851.69,617.0,3,1,1,6471.1,0.3505348537882636,6.2,0.7,TC,Alianza,0
C000146,202412,47,M,Lima,B,5078.66,797.0,2,1,0,3464.56,0.03582189100935848,7.3,1.5,TC,Digital,0
C000800,202408,29,M,Sur,A,2022.81,603.0,4,0,0,1971.36,0.3264007019052109,6.2,2.5,PL,Digital,0
C001347,202505,35,M,Lima,B,964.02,676.0,1,0,0,2165.76,0.1793164958237777,2.3,4.3,TC,Digital,0
C000471,202410,40,F,Norte,,867.23,615.0,3,0,0,905.14,0.23454096593994148,6.2,4.0,TC,Tienda,0
C000795,202504,61,F,Norte,A,2463.73,557.0,4,0,0,1075.55,0.5422591152495262,0.0,2.8,TC,Digital,0
C001192,202311,23,M,Lima,B,2053.88,722.0,5,0,0,1071.7,0.4600238224421332,5.4,1.6,TC,Digital,0
